,,,,,,,,,,,,,
0.3,rnd,sbb,2,,,,,,,,,,
0,add,sbb,$sbb,1,,,,,,,,,
0,BoneHRepeat,256,970,135,3,350,,,$sbb,,,,
,,,,,,,,,,,,,
1.5,SineBones2,50,24,400,35,30,10,,,,,,
,,,,,,,,,,,,,
3.6,CombatZoneSpeed,540,,,,,,,,,,,
0,CombatZoneResize,251,226,396,690,,,,,,,,
0.3,HeartMaxFallSpeed,750,,,,,,,,,,,
0,SansSlam,1,,,,,,,,,,,
0,BoneStab,1,40,0.4,0.4,,,,,,,,
1,BlackScreen,1,,,,,,,,,,,
0,scrollY,0,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeinstant,241,226,406,391,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,CBONE,320,304,140,100,20,0.008,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0,SET,gt,0,,,,,,,,,,
0,SET,gin,1,,,,,,,,,,
0,MUL,Ang,$gt,-10,,,,,,,,,
0,COS,X,$Ang,,,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,,,
0,MUL,EndX,$X,150,,,,,,,,,
0,MUL,EndY,$Y,150,,,,,,,,,
0,MUL,X,$EndX,3,,,,,,,,,
0,MUL,Y,$EndY,3,,,,,,,,,
0,ADD,X,$X,320,,,,,,,,,
0,ADD,Y,$Y,306,,,,,,,,,
0,ADD,EndX,$EndX,320,,,,,,,,,
0,ADD,EndY,$EndY,306,,,,,,,,,
0,ADD,Ang,$Ang,180,,,,,,,,,
0,COS,X1,$Ang,,,,,,,,,,
0,SIN,Y1,$Ang,,,,,,,,,,
0,MUL,EndX1,$X1,150,,,,,,,,,
0,MUL,EndY1,$Y1,150,,,,,,,,,
0,MUL,X1,$EndX1,3,,,,,,,,,
0,MUL,Y1,$EndY1,3,,,,,,,,,
0,ADD,X1,$X1,320,,,,,,,,,
0,ADD,Y1,$Y1,306,,,,,,,,,
0,ADD,EndX1,$EndX1,320,,,,,,,,,
0,ADD,EndY1,$EndY1,306,,,,,,,,,
0,ADD,Ang1,$Ang,-180,,,,,,,,,
0,GasterBlaster,1,$X,$Y,$EndX,$EndY,$Ang,0.05,0,,,,
0,GasterBlaster,1,$X1,$Y1,$EndX1,$EndY1,$Ang1,0.05,0,,,,
0,ADD,gt,$gt,$gin,,,,,,,,,
0,JMPNL,190,$gin,1.8,,,,,,,,,
0,ADD,gin,$gin,0.015,,,,,,,,,
0.09,JMPL,162,$gt,125,,,,,,,,,
1,BlackScreen,1,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0.1,SansHead,BlueEye,,,,,,,,,,,
0,HeartMaxFallSpeed,750,,,,,,,,,,,
0,SansBody,HandRight,,,,,,,,,,,
0,SansSlamDamage,1,,,,,,,,,,,
0,SET,I,0,,,,,,,,,,
0,SET,Direction,0,,,,,,,,,,
0,SET,LastDir,2,,,,,,,,,,
0,SET,Wait1,0.13333,,,,,,,,,,
0,SET,Wait2,0.13333,,,,,,,,,,
0,JMPNE,204,$Direction,$LastDir,,,,,,,,,
0,SUB,Direction,$Direction,2,,,,,,,,,
0,JMPNL,206,$Direction,0,,,,,,,,,
0,ADD,Direction,$Direction,4,,,,,,,,,
0,JMPL,208,$Direction,4,,,,,,,,,
0,SUB,Direction,$Direction,4,,,,,,,,,
0,MUL,Jump,$Direction,2,,,,,,,,,
0,ADD,Jump,$Jump,1,,,,,,,,,
0,JMPREL,$Jump,,,,,,,,,,,
0,SansBody,HandRight,,,,,,,,,,,
0,JMPREL,6,,,,,,,,,,,
0,SansBody,HandDown,,,,,,,,,,,
0,JMPREL,4,,,,,,,,,,,
0,SansBody,HandLeft,,,,,,,,,,,
0,JMPREL,2,,,,,,,,,,,
0,SansBody,HandUp,,,,,,,,,,,
$Wait1,SansSlam,$Direction,,,,,,,,,,,
$Wait2,SET,LastDir,$Direction,,,,,,,,,,
0,MOD,Odd,$I,2,,,,,,,,,
0,JMPZ,223,$Odd,,,,,,,,,,
0,RND,Direction,4,,,,,,,,,,
0,JMPNE,227,$I,21,,,,,,,,,
0,HeartMaxFallSpeed,480,,,,,,,,,,,
0,SET,Wait1,0.2,,,,,,,,,,
0,SET,Wait2,0.2,,,,,,,,,,
0,JMPNE,230,$I,25,,,,,,,,,
0,SansHead,Default,,,,,,,,,,,
0,SansSweat,1,,,,,,,,,,,
0,JMPNE,236,$I,33,,,,,,,,,
0,SansHead,Tired1,,,,,,,,,,,
0,SansSweat,2,,,,,,,,,,,
0,HeartMaxFallSpeed,330,,,,,,,,,,,
0,SET,Wait1,0.5,,,,,,,,,,
0,SET,Wait2,1.1,,,,,,,,,,
0,JMPNE,239,$I,33,,,,,,,,,
0,JMPE,222,$Direction,1,,,,,,,,,
0,JMPE,222,$Direction,$LastDir,,,,,,,,,
0,JMPNE,242,$I,35,,,,,,,,,
0,HeartMaxFallSpeed,240,,,,,,,,,,,
0,SET,Direction,3,,,,,,,,,,
0,JMPNE,246,$I,36,,,,,,,,,
0,SansHead,Tired2,,,,,,,,,,,
0,SansSweat,3,,,,,,,,,,,
0,HeartMaxFallSpeed,60,,,,,,,,,,,
0,ADD,I,$I,1,,,,,,,,,
0,JMPL,202,$I,38,,,,,,,,,
1.5,SansAnimation,Tired,,,,,,,,,,,
2.4,EndAttack,,,,,,,,,,,,
