0,SET,Loop,6,,,,,,,,,,
0,BoneH2,364,671,35,3,150,,,,,,,
0,BoneH2,364,741,35,3,150,,,,,,,
0,BoneH2,364,811,35,3,150,,,,,,,
0,BoneH2,364,881,35,3,150,,,,,,,
0,BoneH2,364,951,35,3,150,,,,,,,
0,BoneH2,364,1021,35,3,150,,,,,,,
0,BoneH2,364,1091,35,3,150,,,,,,,
0,BoneH2,364,1161,35,3,150,,,,,,,
0,BoneH2,364,1231,35,3,150,,,,,,,
0,BoneH2,364,1301,35,3,150,,,,,,,
0,BoneH2,364,1371,35,3,150,,,,,,,
,,,,,,,,,,,,,
2,jmpabs,207,,,,,,,,,,,
¹¥»÷14,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,133,251,508,391,,,,,,,,
0,HeartTeleport,320,251,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,PlatformRepeat,320,346,61,0,120,10,120,,,,,
0,BoneVRepeat,508,356,40,0,60,50,20,,,,,
0.4,sound,ding,,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,
0,MIAO,,,,,,,,,,,,
0,MIAO,,,,,,,,,,,,
3.2,jmpabs,207,,,,,,,,,,,
¹¥»÷15,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,191,226,456,391,,,,,,,,
0,HeartMode,1,,,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,
0,Ball,61,324,360,120,2,0,,,,,,
0,Ball,-61,324,360,120,2,0,,,,,,
0,Ball,-181,324,360,120,2,0,,,,,,
0,Ball,-301,324,360,120,2,0,,,,,,
0,Ball,-421,324,360,120,2,0,,,,,,
0,Ball,-541,324,360,120,2,0,,,,,,
0,Ball,-661,324,360,120,2,0,,,,,,
0,Ball,-781,324,360,120,2,0,,,,,,
0,Ball,-901,324,360,120,2,0,,,,,,
0,Ball,-1021,324,360,120,2,0,,,,,,
0,Ball,556,223,180,120,2,0,,,,,,
0,Ball,676,223,180,120,2,0,,,,,,
0,Ball,796,223,180,120,2,0,,,,,,
0,Ball,916,223,180,120,2,0,,,,,,
0,Ball,1036,223,180,120,2,0,,,,,,
0,Ball,1156,223,180,120,2,0,,,,,,
0,Ball,1276,223,180,120,2,0,,,,,,
0,Ball,1396,223,180,120,2,0,,,,,,
0,Ball,1516,223,180,120,2,0,,,,,,
0,Ball,1636,223,180,120,2,0,,,,,,
3.6,sound,ding,,,,,,,,,,,
0.2,sound,ding,,,,,,,,,,,
0.2,SansSlam,3,,,,,,,,,,,
3,jmpabs,207,,,,,,,,,,,
¹¥»÷16,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,191,226,456,391,,,,,,,,
0,HeartMode,1,,,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,
0,Ball,556,324,180,120,2,0,,,,,,
0,Ball,676,324,180,120,2,0,,,,,,
0,Ball,796,324,180,120,2,0,,,,,,
0,Ball,916,324,180,120,2,0,,,,,,
0,Ball,1036,324,180,120,2,0,,,,,,
0,Ball,1156,324,180,120,2,0,,,,,,
0,Ball,1276,324,180,120,2,0,,,,,,
0,Ball,1396,324,180,120,2,0,,,,,,
0,Ball,1516,324,180,120,2,0,,,,,,
0,Ball,61,223,360,120,2,0,,,,,,
0,Ball,-61,223,360,120,2,0,,,,,,
0,Ball,-181,223,360,120,2,0,,,,,,
0,Ball,-301,223,360,120,2,0,,,,,,
0,Ball,-421,223,360,120,2,0,,,,,,
0,Ball,-541,223,360,120,2,0,,,,,,
0,Ball,-661,223,360,120,2,0,,,,,,
0,Ball,-781,223,360,120,2,0,,,,,,
0,Ball,-901,223,360,120,2,0,,,,,,
3.6,sound,ding,,,,,,,,,,,
0.2,sound,ding,,,,,,,,,,,
0.2,SansSlam,3,,,,,,,,,,,
3,jmpabs,207,,,,,,,,,,,
¹¥»÷17,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeinstant,241,226,406,391,,,,,,,,
0,HeartTeleport,320,376,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0.1,SineBones2,40,-24,250,40,28,5,,,,,,
1.5,SineBones2,10,24,60,40,40,40,,,,,,
1.5,jmpabs,207,,,,,,,,,,,
¹¥»÷18,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeinstant,241,226,406,391,,,,,,,,
0,HeartTeleport,320,241,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0.1,SineBones2,40,24,250,40,28,5,,,,,,
1.5,SineBones2,10,-24,60,40,40,40,,,,,,
1.5,jmpabs,207,,,,,,,,,,,
0,JMPNZ,2,$Loop,,,,,,,,,,
0,EndAttack,,,,,,,,,,,,
