0,SET,Loop,6,Ñ­»·8´Î,,,,,,,
0,BoneVRepeat,423,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,408,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,393,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,378,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,363,346,40,0,0,,,$sb,,
0,rnd,sb,2,,,,,,,,
0,add,sb,$sb,1,,,,,,,
0,BoneVRepeat,348,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,333,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,318,346,40,0,0,,,$sb,,
0,rnd,sb,2,,,,,,,,
0,add,sb,$sb,1,,,,,,,
0,BoneVRepeat,303,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,288,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,273,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,258,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,243,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,228,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,213,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,198,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,183,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,168,346,40,0,0,,,$sb,,
0,rnd,sb,3,,,,,,,,
0,BoneVRepeat,153,346,40,0,0,,,$sb,,
1,SansSlam,1,,,,,,,,,
0,SansBody,HandDown,,,,,,,,,
0.4,SansAnimation,Idle,,,,,,,,,
0.4,jmpabs,232,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
¹¥»÷5,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
0,CombatZoneResizeInstant,143,231,518,391,,,,,,
0,HeartTeleport,320,304,,,,,,,,
0,HeartMode,0,,,,,,,,,
0,BoneVRepeat,528,366,40,0,0,30,15,,,
0,RND,SB,295,,,,,,,,
0,ADD,SB,$SB,163,,,,,,,
0,choose,cnm,0,2,,,,,,,
0,PurplePlatform,$SB,336,30,$cnm,120,1,,,,
0,BoneStab,1,80,1.7,1,,,,,,
1.4,SansSlam,1,,,,,,,,,
0.4,jmpabs,232,,,,,,,,,
¹¥»÷6,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
0,CombatZoneResizeinstant,133,261,508,291,,,,,,
0,HeartTeleport,320,276,,,,,,,,
0,HeartMode,0,,,,,,,,,
,,,,,,,,,,,
0,GasterBlaster,1,321,346,321,346,270,0.6,0.5,,75
0,GasterBlaster,1,321,204,321,201,90,0.6,0.5,,75
0,GasterBlaster,1,321,346,321,346,270,0.6,0.5,,-75
0,GasterBlaster,1,321,204,321,201,90,0.6,0.5,,-75
0,CHOOSE,SB,381,261,,,,,,,
0,GasterBlaster,1,$SB,204,$SB,204,90,0.8,0.5,1,
0,JMPE,190,381,$SB,,,,,,,
0,GasterBlaster,1,221,204,221,204,90,0.8,0.5,1,
0,GasterBlaster,1,181,204,181,204,90,0.8,0.5,1,
2.18,jmpabs,232,,,,,,,,,
0,GasterBlaster,1,421,204,421,204,90,0.8,0.5,1,
0,GasterBlaster,1,461,204,461,204,90,0.8,0.5,1,
2.18,jmpabs,232,,,,,,,,,
¹¥»÷7,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
0,CombatZoneResizeinstant,133,261,508,291,,,,,,
0,HeartTeleport,149,276,,,,,,,,
0,HeartMode,0,,,,,,,,,
,,,,,,,,,,,
0,GasterBlaster,1,133,346,133,346,270,0.6,0.5,,80
0,GasterBlaster,1,508,201,508,201,90,0.6,0.5,,80
0,GasterBlaster,1,320,201,320,201,90,0.6,0.5,,
2,jmpabs,232,,,,,,,,,
,,,,,,,,,,,
¹¥»÷8,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
,,,,,,,,,,,
0,CombatZoneResizeinstant,133,261,508,291,,,,,,
0,HeartTeleport,493,276,,,,,,,,
0,HeartMode,0,,,,,,,,,
,,,,,,,,,,,
0,GasterBlaster,1,133,346,133,346,270,0.6,0.5,,80
0,GasterBlaster,1,508,201,508,201,90,0.6,0.5,,80
0,GasterBlaster,1,320,201,320,201,90,0.6,0.5,,
2,jmpabs,232,,,,,,,,,
,,,,,,,,,,,
¹¥»÷9,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
0,CombatZoneResizeinstant,241,226,404,391,,,,,,
0,HeartTeleport,320,324,,,,,,,,
0,sansx,999,,,,,,,,,
0,HeartMode,0,,,,,,,,,
0,hxcz,,,,,,,,,,
1,sansx,320,,,,,,,,,
0.01,jmpabs,232,,,,,,,,,
,,,,,,,,,,,
0,JMPNZ,2,$Loop,,,,,,,,
0,EndAttack,,,,,,,,,,
