0,SET,Loop,10,,,,,,,,,,
0,GasterBlaster,0,201,371,201,371,0,0.8,0.4,$e,,,


2,jmpabs,380,,,,,,,,,,,
¹¥»÷3,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,143,231,518,391,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,BoneVRepeat,528,366,40,0,0,30,15,,,,,
0,RND,SB,295,,,,,,,,,,
0,ADD,SB,$SB,163,,,,,,,,,
0,Platform,$SB,336,40,0,0,1,,,,,,
1.4,SansSlam,1,,,,,,,,,,,
0.4,jmpabs,380,,,,,,,,,,,










¹¥»÷4,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,143,231,518,391,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,BoneVRepeat,528,366,40,0,0,30,15,,,,,
0,RND,SB,295,,,,,,,,,,
0,ADD,SB,$SB,163,,,,,,,,,
0,Platform,$SB,336,40,0,130,1,,,,,,
1.4,SansSlam,1,,,,,,,,,,,
0.4,jmpabs,380,,,,,,,,,,,




















¹¥»÷5,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,143,231,518,391,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,BoneVRepeat,528,366,40,0,0,30,15,,,,,
0,RND,SB,295,,,,,,,,,,
0,ADD,SB,$SB,163,,,,,,,,,
0,Platform,$SB,336,40,2,130,1,,,,,,
1.4,SansSlam,1,,,,,,,,,,,
0.4,jmpabs,380,,,,,,,,,,,
¹¥»÷6,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeinstant,133,261,508,291,,,,,,,,
0,HeartTeleport,320,276,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,

0,GasterBlaster,1,321,346,321,346,270,0.6,0.5,,78,,
0,GasterBlaster,1,321,204,321,201,90,0.6,0.5,,78,,


2,jmpabs,380,,,,,,,,,,,
¹¥»÷7,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeinstant,133,261,508,291,,,,,,,,
0,HeartTeleport,149,276,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,

0,GasterBlaster,1,133,346,133,346,270,0.6,0.5,,80,,
0,GasterBlaster,1,508,201,508,201,90,0.6,0.5,,80,,

2,jmpabs,380,,,,,,,,,,,

¹¥»÷8,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeinstant,133,261,508,291,,,,,,,,
0,HeartTeleport,493,276,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,

0,GasterBlaster,1,133,346,133,346,270,0.6,0.5,,80,,
0,GasterBlaster,1,508,201,508,201,90,0.6,0.5,,80,,

2,jmpabs,380,,,,,,,,,,,
¹¥»÷9,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeinstant,241,226,404,391,,,,,,,,
0,HeartTeleport,320,324,,,,,,,,,,
0,sansx,999,,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,hxcz,,,,,,,,,,,,
1,sansx,320,,,,,,,,,,,
0.01,jmpabs,380,,,,,,,,,,,
¹¥»÷10,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,sansx,220,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,,,,,
0,HeartTeleport,130,324,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,BoneVRepeat,171,336,50,0,0,3,100,,,,,2
0,BoneVRepeat,221,281,50,0,0,3,100,,,,,2
0.5,BoneVRepeat,111,281,105,0,100,15,15,,,,,0


3,jmpabs,380,,,,,,,,,,,
¹¥»÷11,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,,,,,
0,HeartTeleport,516,324,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,BoneVRepeat,476,336,50,0,0,3,100,,,,,0
0,BoneVRepeat,426,281,50,0,0,3,100,,,,,0
0.5,BoneVRepeat,536,281,105,2,100,15,15,,,,,2

3,jmpabs,380,,,,,,,,,,,
¹¥»÷12,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,239,126,404,391,,,,,,,,
0,HeartTeleport,259,204,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,SansSlam,2,,,,,,,,,,,
0,BoneH2,246,121,35,1,140,,,,,,,
0,BoneH2,246,21,35,1,140,,,,,,,
0,BoneH2,246,-79,35,1,140,,,,,,,
0,BoneH2,246,-179,35,1,140,,,,,,,
0,BoneH2,246,-279,35,1,140,,,,,,,
0,BoneH2,246,-379,35,1,140,,,,,,,
0,BoneH2,246,-479,35,1,140,,,,,,,
0,BoneH2,246,-579,35,1,140,,,,,,,
0,BoneH2,246,-679,35,1,140,,,,,,,
0,BoneH2,246,-779,35,1,140,,,,,,,
,,,,,,140,,,,,,,
0,BoneH2,279,391,120,3,140,,,,,,,
0,BoneH2,279,491,120,3,140,,,,,,,
0,BoneH2,279,591,120,3,140,,,,,,,
0,BoneH2,279,691,120,3,140,,,,,,,
0,BoneH2,279,791,120,3,140,,,,,,,
0,BoneH2,279,891,120,3,140,,,,,,,
0,BoneH2,279,991,120,3,140,,,,,,,
0,BoneH2,279,1091,120,3,140,,,,,,,
0,BoneH2,279,1191,120,3,140,,,,,,,
0,BoneH2,279,1291,120,3,140,,,,,,,


2,jmpabs,380,,,,,,,,,,,
¹¥»÷13,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,239,126,404,391,,,,,,,,
0,HeartTeleport,384,204,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,SansSlam,0,,,,,,,,,,,
0,BoneH2,364,391,35,3,140,,,,,,,
0,BoneH2,364,491,35,3,140,,,,,,,
0,BoneH2,364,591,35,3,140,,,,,,,
0,BoneH2,364,691,35,3,140,,,,,,,
0,BoneH2,364,791,35,3,140,,,,,,,
0,BoneH2,364,891,35,3,140,,,,,,,
0,BoneH2,364,991,35,3,140,,,,,,,
0,BoneH2,364,1091,35,3,140,,,,,,,
0,BoneH2,364,1191,35,3,140,,,,,,,
0,BoneH2,364,1291,35,3,140,,,,,,,

0,BoneH2,246,121,120,1,140,,,,,,,
0,BoneH2,246,21,120,1,140,,,,,,,
0,BoneH2,246,-79,120,1,140,,,,,,,
0,BoneH2,246,-179,120,1,140,,,,,,,
0,BoneH2,246,-279,120,1,140,,,,,,,
0,BoneH2,246,-379,120,1,140,,,,,,,
0,BoneH2,246,-479,120,1,140,,,,,,,
0,BoneH2,246,-579,120,1,140,,,,,,,
0,BoneH2,246,-679,120,1,140,,,,,,,
0,BoneH2,246,-779,120,1,140,,,,,,,



2,jmpabs,380,,,,,,,,,,,
¹¥»÷14,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,133,251,508,391,,,,,,,,
0,HeartTeleport,360,326,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,
0,PlatformRepeat,300,346,61,0,120,10,120,,,,,
0,BoneVRepeat,508,356,40,0,60,50,20,,,,,
0,MIAO,,,,,,,,,,,,
0,MIAO,,,,,,,,,,,,
3.2,jmpabs,380,,,,,,,,,,,
¹¥»÷15,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,191,226,456,391,,,,,,,,
0,HeartMode,1,,,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,
0,Ball,61,324,360,120,2,0,,,,,,
0,Ball,-61,324,360,120,2,0,,,,,,
0,Ball,-181,324,360,120,2,0,,,,,,
0,Ball,-301,324,360,120,2,0,,,,,,
0,Ball,-421,324,360,120,2,0,,,,,,
0,Ball,-541,324,360,120,2,0,,,,,,
0,Ball,-661,324,360,120,2,0,,,,,,
0,Ball,-781,324,360,120,2,0,,,,,,
0,Ball,-901,324,360,120,2,0,,,,,,
0,Ball,-1021,324,360,120,2,0,,,,,,
0,Ball,556,223,180,120,2,0,,,,,,
0,Ball,676,223,180,120,2,0,,,,,,
0,Ball,796,223,180,120,2,0,,,,,,
0,Ball,916,223,180,120,2,0,,,,,,
0,Ball,1036,223,180,120,2,0,,,,,,
0,Ball,1156,223,180,120,2,0,,,,,,
0,Ball,1276,223,180,120,2,0,,,,,,
0,Ball,1396,223,180,120,2,0,,,,,,
0,Ball,1516,223,180,120,2,0,,,,,,
0,Ball,1636,223,180,120,2,0,,,,,,

4,jmpabs,380,,,,,,,,,,,
¹¥»÷16,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeInstant,191,226,456,391,,,,,,,,
0,HeartMode,1,,,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,
0,Ball,556,324,180,120,2,0,,,,,,
0,Ball,676,324,180,120,2,0,,,,,,
0,Ball,796,324,180,120,2,0,,,,,,
0,Ball,916,324,180,120,2,0,,,,,,
0,Ball,1036,324,180,120,2,0,,,,,,
0,Ball,1156,324,180,120,2,0,,,,,,
0,Ball,1276,324,180,120,2,0,,,,,,
0,Ball,1396,324,180,120,2,0,,,,,,
0,Ball,1516,324,180,120,2,0,,,,,,
0,Ball,1636,324,180,120,2,0,,,,,,
0,Ball,61,223,360,120,2,0,,,,,,
0,Ball,-61,223,360,120,2,0,,,,,,
0,Ball,-181,223,360,120,2,0,,,,,,
0,Ball,-301,223,360,120,2,0,,,,,,
0,Ball,-421,223,360,120,2,0,,,,,,
0,Ball,-541,223,360,120,2,0,,,,,,
0,Ball,-661,223,360,120,2,0,,,,,,
0,Ball,-781,223,360,120,2,0,,,,,,
0,Ball,-901,223,360,120,2,0,,,,,,
0,Ball,-1021,223,360,120,2,0,,,,,,
4,jmpabs,380,,,,,,,,,,,

¹¥»÷17,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeinstant,241,226,406,391,,,,,,,,
0,HeartTeleport,320,376,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0.1,SineBones2,40,-24,250,40,28,5,,,,,,
3,jmpabs,380,,,,,,,,,,,

¹¥»÷18,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,CombatZoneResizeinstant,241,226,406,391,,,,,,,,
0,HeartTeleport,320,241,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0.1,SineBones2,40,24,250,40,28,5,,,,,,
3,jmpabs,380,,,,,,,,,,,

0,JMPNZ,2,$Loop,,,,,,,,,,
0,EndAttack,,,,,,,,,,,,
