0,SET,Loop,6,Ñ­»·8´Î,,,,,,,
0,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
0,CombatZoneResizeinstant,133,261,508,291,,,,,,
0,HeartTeleport,320,276,,,,,,,,
0,HeartMode,0,,,,,,,,,

0,GasterBlaster,1,321,346,321,346,270,0.6,0.5,,78
0,GasterBlaster,1,321,204,321,201,90,0.6,0.5,,78


2,jmpabs,200,,,,,,,,,
¹¥»÷7,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
0,CombatZoneResizeinstant,133,261,508,291,,,,,,
0,HeartTeleport,149,276,,,,,,,,
0,HeartMode,0,,,,,,,,,

0,GasterBlaster,1,133,346,133,346,270,0.6,0.5,,80
0,GasterBlaster,1,508,201,508,201,90,0.6,0.5,,80

2,jmpabs,200,,,,,,,,,

¹¥»÷8,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
0,CombatZoneResizeinstant,133,261,508,291,,,,,,
0,HeartTeleport,493,276,,,,,,,,
0,HeartMode,0,,,,,,,,,

0,GasterBlaster,1,133,346,133,346,270,0.6,0.5,,80
0,GasterBlaster,1,508,201,508,201,90,0.6,0.5,,80

2,jmpabs,200,,,,,,,,,
¹¥»÷9,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
0,CombatZoneResizeinstant,241,226,404,391,,,,,,
0,HeartTeleport,320,324,,,,,,,,
0,sansx,999,,,,,,,,,
0,HeartMode,0,,,,,,,,,
0,hxcz,,,,,,,,,,
1,sansx,320,,,,,,,,,
0,jmpabs,200,,,,,,,,,

0,JMPNZ,2,$Loop,,,,,,,,
0,EndAttack,,,,,,,,,,
